date,type,amount,category,description
2024-01-03 11:00:00,withdrawal,201.71,utilities,Transaction 59
2024-01-03 12:00:00,withdrawal,3.37,healthcare,Transaction 60
2024-01-03 13:00:00,refund,472.14,healthcare,Transaction 61
2024-01-03 14:00:00,purchase,188.85,groceries,Transaction 62
2024-01-03 15:00:00,refund,444.12,groceries,Transaction 63
2024-01-03 16:00:00,purchase,433.87,utilities,Transaction 64
2024-01-03 17:00:00,purchase,461.93,utilities,Transaction 65
2024-01-03 18:00:00,withdrawal,310.11,entertainment,Transaction 66
2024-01-03 19:00:00,withdrawal,88.82,transport,Transaction 67
2024-01-03 20:00:00,purchase,391.71,healthcare,Transaction 68
2024-01-03 21:00:00,purchase,391.93,healthcare,Transaction 69
2024-01-03 22:00:00,purchase,456.62,utilities,Transaction 70
2024-01-03 23:00:00,purchase,336.08,groceries,Transaction 71
2024-01-04 00:00:00,purchase,132.95,groceries,Transaction 72
2024-01-04 01:00:00,refund,38.24,utilities,Transaction 73
2024-01-04 02:00:00,purchase,258.11,utilities,Transaction 74
2024-01-04 03:00:00,purchase,98.66,utilities,Transaction 75
2024-01-04 04:00:00,refund,117.52,healthcare,Transaction 76
2024-01-04 05:00:00,refund,354.91,groceries,Transaction 77
2024-01-04 06:00:00,withdrawal,138.73,utilities,Transaction 78
2024-01-04 07:00:00,purchase,113.83,healthcare,Transaction 79
2024-01-04 08:00:00,purchase,389.12,groceries,Transaction 80
2024-01-04 09:00:00,refund,206.57,entertainment,Transaction 81
2024-01-04 10:00:00,withdrawal,197.91,entertainment,Transaction 82
2024-01-04 11:00:00,withdrawal,428.33,healthcare,Transaction 83
2024-01-04 12:00:00,purchase,267.01,entertainment,Transaction 84
2024-01-04 13:00:00,refund,42.64,groceries,Transaction 85
2024-01-04 14:00:00,purchase,294.02,transport,Transaction 86
2024-01-04 15:00:00,purchase,35.74,transport,Transaction 87
2024-01-04 16:00:00,purchase,282.19,groceries,Transaction 88
2024-01-04 17:00:00,refund,130.21,utilities,Transaction 89
2024-01-04 18:00:00,refund,444.09,entertainment,Transaction 90
2024-01-04 19:00:00,withdrawal,274.75,utilities,Transaction 91
2024-01-04 20:00:00,purchase,343.1,transport,Transaction 92
2024-01-04 21:00:00,refund,249.15,groceries,Transaction 93
2024-01-04 22:00:00,purchase,456.63,entertainment,Transaction 94
2024-01-04 23:00:00,withdrawal,69.13,groceries,Transaction 95
2024-01-05 00:00:00,withdrawal,394.02,healthcare,Transaction 96
2024-01-05 01:00:00,purchase,484.41,entertainment,Transaction 97
2024-01-05 02:00:00,refund,316.54,groceries,Transaction 98
2024-01-05 03:00:00,purchase,128.39,utilities,Transaction 99
2024-01-05 04:00:00,refund,174.12,transport,Transaction 100
2024-01-05 05:00:00,purchase,287.91,transport,Transaction 101
2024-01-05 06:00:00,refund,250.21,healthcare,Transaction 102
2024-01-05 07:00:00,purchase,36.57,utilities,Transaction 103
2024-01-05 08:00:00,purchase,210.05,groceries,Transaction 104
2024-01-05 09:00:00,refund,359.94,utilities,Transaction 105
2024-01-05 10:00:00,purchase,71.82,entertainment,Transaction 106
2024-01-05 11:00:00,withdrawal,219.43,groceries,Transaction 107
2024-01-05 12:00:00,withdrawal,282.03,healthcare,Transaction 108
2024-01-05 13:00:00,refund,124.3,utilities,Transaction 109
2024-01-05 14:00:00,purchase,83.41,utilities,Transaction 110
2024-01-05 15:00:00,purchase,174.44,healthcare,Transaction 111
2024-01-05 16:00:00,withdrawal,460.09,entertainment,Transaction 112
2024-01-05 17:00:00,purchase,226.06,transport,Transaction 113
2024-01-05 18:00:00,withdrawal,335.87,groceries,Transaction 114
2024-01-05 19:00:00,withdrawal,484.94,utilities,Transaction 115
2024-01-05 20:00:00,refund,236.06,transport,Transaction 116
2024-01-05 21:00:00,purchase,353.68,transport,Transaction 117
2024-01-05 22:00:00,refund,147.33,utilities,Transaction 118
2024-01-05 23:00:00,purchase,454.18,groceries,Transaction 119
2024-01-06 00:00:00,purchase,290.65,transport,Transaction 120
2024-01-06 01:00:00,purchase,345.74,transport,Transaction 121
2024-01-06 02:00:00,purchase,232.68,entertainment,Transaction 122
2024-01-06 03:00:00,withdrawal,46.91,utilities,Transaction 123
2024-01-06 04:00:00,refund,164.22,healthcare,Transaction 124
2024-01-06 05:00:00,withdrawal,26.88,transport,Transaction 125
2024-01-06 06:00:00,purchase,371.11,healthcare,Transaction 126
2024-01-06 07:00:00,purchase,138.63,groceries,Transaction 127
2024-01-06 08:00:00,withdrawal,316.97,transport,Transaction 128
2024-01-06 09:00:00,purchase,445.52,entertainment,Transaction 129
2024-01-06 10:00:00,refund,80.01,groceries,Transaction 130
2024-01-06 11:00:00,refund,184.39,utilities,Transaction 131
2024-01-06 12:00:00,refund,30.71,transport,Transaction 132
2024-01-06 13:00:00,withdrawal,488.59,utilities,Transaction 133
2024-01-06 14:00:00,withdrawal,232.39,groceries,Transaction 134
2024-01-06 15:00:00,purchase,56.67,groceries,Transaction 135
2024-01-06 16:00:00,withdrawal,166.79,groceries,Transaction 136
2024-01-06 17:00:00,purchase,441.41,utilities,Transaction 137
2024-01-06 18:00:00,purchase,278.37,utilities,Transaction 138
2024-01-06 19:00:00,refund,355.33,entertainment,Transaction 139
2024-01-06 20:00:00,refund,467.88,entertainment,Transaction 140
2024-01-06 21:00:00,purchase,223.2,utilities,Transaction 141
2024-01-06 22:00:00,refund,251.55,healthcare,Transaction 142
2024-01-06 23:00:00,purchase,137.98,transport,Transaction 143
2024-01-07 00:00:00,withdrawal,254.52,utilities,Transaction 144
2024-01-07 01:00:00,purchase,265.79,healthcare,Transaction 145
2024-01-07 02:00:00,refund,325.11,transport,Transaction 146
2024-01-07 03:00:00,withdrawal,82.82,healthcare,Transaction 147
2024-01-07 04:00:00,withdrawal,313.78,groceries,Transaction 148
2024-01-07 05:00:00,refund,392.89,groceries,Transaction 149
2024-01-07 06:00:00,purchase,245.93,utilities,Transaction 150
2024-01-07 07:00:00,refund,220.14,groceries,Transaction 151
2024-01-07 08:00:00,withdrawal,443.57,utilities,Transaction 152
2024-01-07 09:00:00,refund,272.39,utilities,Transaction 153
2024-01-07 10:00:00,refund,41.3,healthcare,Transaction 154
2024-01-07 11:00:00,purchase,124.88,entertainment,Transaction 155
2024-01-07 12:00:00,refund,396.3,groceries,Transaction 156
2024-01-07 13:00:00,withdrawal,122.11,utilities,Transaction 157
2024-01-07 14:00:00,refund,3.99,utilities,Transaction 158
2024-01-07 15:00:00,withdrawal,158.45,groceries,Transaction 159
2024-01-07 16:00:00,refund,472.71,entertainment,Transaction 160
2024-01-07 17:00:00,purchase,284.29,groceries,Transaction 161
2024-01-07 18:00:00,withdrawal,113.14,transport,Transaction 162
2024-01-07 19:00:00,withdrawal,183.06,utilities,Transaction 163
2024-01-07 20:00:00,purchase,159.61,groceries,Transaction 164
2024-01-07 21:00:00,withdrawal,271.41,entertainment,Transaction 165
2024-01-07 22:00:00,refund,434.03,entertainment,Transaction 166
2024-01-07 23:00:00,withdrawal,141.57,utilities,Transaction 167
2024-01-08 00:00:00,purchase,1.18,healthcare,Transaction 168
2024-01-08 01:00:00,withdrawal,446.34,entertainment,Transaction 169
2024-01-08 02:00:00,withdrawal,30.44,entertainment,Transaction 170
2024-01-08 03:00:00,withdrawal,469.42,entertainment,Transaction 171
2024-01-08 04:00:00,refund,47.73,transport,Transaction 172
2024-01-08 05:00:00,purchase,156.91,entertainment,Transaction 173
2024-01-08 06:00:00,withdrawal,492.78,entertainment,Transaction 174
2024-01-08 07:00:00,withdrawal,75.85,groceries,Transaction 175
2024-01-08 08:00:00,withdrawal,326.13,entertainment,Transaction 176
2024-01-08 09:00:00,refund,382.47,healthcare,Transaction 177
2024-01-08 10:00:00,purchase,261.48,utilities,Transaction 178
2024-01-08 11:00:00,withdrawal,41.12,transport,Transaction 179
2024-01-08 12:00:00,refund,392.08,utilities,Transaction 180
2024-01-08 13:00:00,purchase,168.95,entertainment,Transaction 181
2024-01-08 14:00:00,withdrawal,320.56,entertainment,Transaction 182
2024-01-08 15:00:00,refund,21.65,healthcare,Transaction 183
2024-01-08 16:00:00,refund,305.2,groceries,Transaction 184
2024-01-08 17:00:00,refund,11.0,groceries,Transaction 185
2024-01-08 18:00:00,purchase,17.15,utilities,Transaction 186
2024-01-08 19:00:00,purchase,440.73,entertainment,Transaction 187
2024-01-08 20:00:00,withdrawal,228.97,utilities,Transaction 188
2024-01-08 21:00:00,refund,48.14,utilities,Transaction 189
2024-01-08 22:00:00,purchase,83.37,entertainment,Transaction 190
2024-01-08 23:00:00,refund,445.6,transport,Transaction 191
2024-01-09 00:00:00,refund,124.84,entertainment,Transaction 192
2024-01-09 01:00:00,withdrawal,147.21,entertainment,Transaction 193
2024-01-09 02:00:00,withdrawal,153.42,healthcare,Transaction 194
2024-01-09 03:00:00,purchase,131.93,transport,Transaction 195
2024-01-09 04:00:00,purchase,52.01,groceries,Transaction 196
2024-01-09 05:00:00,withdrawal,440.52,utilities,Transaction 197
2024-01-09 06:00:00,refund,204.79,entertainment,Transaction 198
2024-01-09 07:00:00,purchase,300.37,entertainment,Transaction 199
2024-01-09 08:00:00,refund,362.21,groceries,Transaction 200
2024-01-09 09:00:00,refund,408.16,entertainment,Transaction 201
2024-01-09 10:00:00,purchase,448.44,entertainment,Transaction 202
2024-01-09 11:00:00,refund,422.33,healthcare,Transaction 203
2024-01-09 12:00:00,withdrawal,435.4,utilities,Transaction 204
2024-01-09 13:00:00,withdrawal,123.87,entertainment,Transaction 205
2024-01-09 14:00:00,refund,22.44,groceries,Transaction 206
2024-01-09 15:00:00,refund,431.91,utilities,Transaction 207
2024-01-09 16:00:00,withdrawal,176.21,utilities,Transaction 208
2024-01-09 17:00:00,purchase,263.86,utilities,Transaction 209
2024-01-09 18:00:00,withdrawal,95.46,entertainment,Transaction 210
2024-01-09 19:00:00,refund,433.11,utilities,Transaction 211
2024-01-09 20:00:00,withdrawal,445.4,utilities,Transaction 212
2024-01-09 21:00:00,refund,428.38,groceries,Transaction 213
2024-01-09 22:00:00,refund,128.84,groceries,Transaction 214
2024-01-09 23:00:00,withdrawal,151.95,groceries,Transaction 215
2024-01-10 00:00:00,withdrawal,191.19,entertainment,Transaction 216
2024-01-10 01:00:00,withdrawal,252.94,utilities,Transaction 217
2024-01-10 02:00:00,purchase,277.46,transport,Transaction 218
2024-01-10 03:00:00,purchase,266.82,utilities,Transaction 219
2024-01-10 04:00:00,purchase,458.44,healthcare,Transaction 220
2024-01-10 05:00:00,refund,304.88,utilities,Transaction 221
2024-01-10 06:00:00,withdrawal,266.65,transport,Transaction 222
2024-01-10 07:00:00,refund,291.12,groceries,Transaction 223
2024-01-10 08:00:00,withdrawal,218.0,utilities,Transaction 224
2024-01-10 09:00:00,withdrawal,258.69,utilities,Transaction 225
2024-01-10 10:00:00,withdrawal,119.83,utilities,Transaction 226
2024-01-10 11:00:00,refund,441.63,entertainment,Transaction 227
2024-01-10 12:00:00,refund,21.22,transport,Transaction 228
2024-01-10 13:00:00,withdrawal,253.44,transport,Transaction 229
2024-01-10 14:00:00,withdrawal,438.45,entertainment,Transaction 230
2024-01-10 15:00:00,refund,300.89,healthcare,Transaction 231
2024-01-10 16:00:00,refund,69.95,healthcare,Transaction 232
2024-01-10 17:00:00,refund,249.17,utilities,Transaction 233
2024-01-10 18:00:00,purchase,271.05,entertainment,Transaction 234
2024-01-10 19:00:00,withdrawal,488.46,entertainment,Transaction 235
2024-01-10 20:00:00,purchase,264.37,groceries,Transaction 236
2024-01-10 21:00:00,refund,367.55,healthcare,Transaction 237
2024-01-10 22:00:00,withdrawal,278.07,entertainment,Transaction 238
2024-01-10 23:00:00,refund,79.02,healthcare,Transaction 239
2024-01-11 00:00:00,refund,435.04,healthcare,Transaction 240
2024-01-11 01:00:00,purchase,172.19,transport,Transaction 241
2024-01-11 02:00:00,withdrawal,136.64,groceries,Transaction 242
2024-01-11 03:00:00,withdrawal,207.21,transport,Transaction 243
2024-01-11 04:00:00,withdrawal,90.78,transport,Transaction 244
2024-01-11 05:00:00,purchase,221.0,healthcare,Transaction 245
2024-01-11 06:00:00,refund,397.62,entertainment,Transaction 246
2024-01-11 07:00:00,withdrawal,469.26,utilities,Transaction 247
2024-01-11 08:00:00,withdrawal,22.52,healthcare,Transaction 248
2024-01-11 09:00:00,refund,455.61,entertainment,Transaction 249
2024-01-11 10:00:00,withdrawal,225.84,groceries,Transaction 250
2024-01-11 11:00:00,withdrawal,232.06,utilities,Transaction 251
2024-01-11 12:00:00,withdrawal,232.84,healthcare,Transaction 252
2024-01-11 13:00:00,purchase,253.78,entertainment,Transaction 253
2024-01-11 14:00:00,purchase,81.28,utilities,Transaction 254
2024-01-11 15:00:00,withdrawal,300.21,groceries,Transaction 255
2024-01-11 16:00:00,purchase,159.28,utilities,Transaction 256
2024-01-11 17:00:00,purchase,71.57,transport,Transaction 257
2024-01-11 18:00:00,purchase,451.19,healthcare,Transaction 258
2024-01-11 19:00:00,withdrawal,137.71,groceries,Transaction 259
2024-01-11 20:00:00,withdrawal,498.26,entertainment,Transaction 260
2024-01-11 21:00:00,refund,488.62,groceries,Transaction 261
2024-01-11 22:00:00,refund,2.68,healthcare,Transaction 262
2024-01-11 23:00:00,withdrawal,415.75,transport,Transaction 263
2024-01-12 00:00:00,refund,56.65,transport,Transaction 264
2024-01-12 01:00:00,withdrawal,297.49,groceries,Transaction 265
2024-01-12 02:00:00,purchase,115.67,transport,Transaction 266
2024-01-12 03:00:00,withdrawal,461.3,utilities,Transaction 267
2024-01-12 04:00:00,refund,66.22,healthcare,Transaction 268
2024-01-12 05:00:00,withdrawal,2.13,groceries,Transaction 269
2024-01-12 06:00:00,purchase,469.75,healthcare,Transaction 270
2024-01-12 07:00:00,refund,239.08,utilities,Transaction 271
2024-01-12 08:00:00,purchase,31.21,transport,Transaction 272
2024-01-12 09:00:00,withdrawal,376.0,groceries,Transaction 273
2024-01-12 10:00:00,purchase,40.22,entertainment,Transaction 274
2024-01-12 11:00:00,refund,305.54,entertainment,Transaction 275
2024-01-12 12:00:00,withdrawal,78.75,groceries,Transaction 276
2024-01-12 13:00:00,withdrawal,78.53,groceries,Transaction 277
2024-01-12 14:00:00,refund,116.05,entertainment,Transaction 278
2024-01-12 15:00:00,withdrawal,481.35,utilities,Transaction 279
2024-01-12 16:00:00,refund,127.36,transport,Transaction 280
2024-01-12 17:00:00,refund,449.59,utilities,Transaction 281
2024-01-12 18:00:00,purchase,170.29,groceries,Transaction 282
2024-01-12 19:00:00,withdrawal,179.7,healthcare,Transaction 283
2024-01-12 20:00:00,refund,108.79,utilities,Transaction 284
2024-01-12 21:00:00,withdrawal,99.72,utilities,Transaction 285
2024-01-12 22:00:00,refund,337.42,entertainment,Transaction 286
2024-01-12 23:00:00,withdrawal,3.68,entertainment,Transaction 287
2024-01-13 00:00:00,withdrawal,432.44,entertainment,Transaction 288
2024-01-13 01:00:00,refund,184.77,utilities,Transaction 289
2024-01-13 02:00:00,purchase,61.97,groceries,Transaction 290
2024-01-13 03:00:00,purchase,289.94,healthcare,Transaction 291
2024-01-13 04:00:00,purchase,334.08,entertainment,Transaction 292
2024-01-13 05:00:00,refund,177.54,groceries,Transaction 293
2024-01-13 06:00:00,withdrawal,386.37,groceries,Transaction 294
2024-01-13 07:00:00,refund,298.28,transport,Transaction 295
2024-01-13 08:00:00,withdrawal,77.46,entertainment,Transaction 296
2024-01-13 09:00:00,refund,108.88,entertainment,Transaction 297
2024-01-13 10:00:00,withdrawal,393.13,entertainment,Transaction 298
2024-01-13 11:00:00,purchase,303.58,utilities,Transaction 299
2024-01-13 12:00:00,withdrawal,249.3,healthcare,Transaction 300
2024-01-13 13:00:00,purchase,26.22,entertainment,Transaction 301
2024-01-13 14:00:00,refund,220.82,healthcare,Transaction 302
2024-01-13 15:00:00,refund,441.14,entertainment,Transaction 303
2024-01-13 16:00:00,purchase,186.45,entertainment,Transaction 304
2024-01-13 17:00:00,withdrawal,367.78,utilities,Transaction 305
2024-01-13 18:00:00,purchase,449.5,healthcare,Transaction 306
2024-01-13 19:00:00,purchase,351.53,transport,Transaction 307
2024-01-13 20:00:00,refund,314.57,transport,Transaction 308
2024-01-13 21:00:00,withdrawal,324.66,entertainment,Transaction 309
2024-01-13 22:00:00,withdrawal,468.23,transport,Transaction 310
2024-01-13 23:00:00,withdrawal,188.98,groceries,Transaction 311
2024-01-14 00:00:00,withdrawal,78.7,entertainment,Transaction 312
2024-01-14 01:00:00,withdrawal,141.73,groceries,Transaction 313
2024-01-14 02:00:00,purchase,26.67,entertainment,Transaction 314
2024-01-14 03:00:00,purchase,226.13,entertainment,Transaction 315
2024-01-14 04:00:00,purchase,373.22,groceries,Transaction 316
2024-01-14 05:00:00,purchase,172.14,entertainment,Transaction 317
2024-01-14 06:00:00,withdrawal,342.81,entertainment,Transaction 318
2024-01-14 07:00:00,refund,175.81,transport,Transaction 319
2024-01-14 08:00:00,refund,297.01,utilities,Transaction 320
2024-01-14 09:00:00,purchase,50.98,groceries,Transaction 321
2024-01-14 10:00:00,withdrawal,312.51,utilities,Transaction 322
2024-01-14 11:00:00,purchase,476.8,entertainment,Transaction 323
2024-01-14 12:00:00,purchase,55.25,groceries,Transaction 324
2024-01-14 13:00:00,refund,235.18,healthcare,Transaction 325
2024-01-14 14:00:00,refund,61.32,transport,Transaction 326
2024-01-14 15:00:00,refund,13.64,entertainment,Transaction 327
2024-01-14 16:00:00,withdrawal,213.12,groceries,Transaction 328
2024-01-14 17:00:00,withdrawal,76.26,healthcare,Transaction 329
2024-01-14 18:00:00,refund,29.2,entertainment,Transaction 330
2024-01-14 19:00:00,purchase,390.51,transport,Transaction 331
2024-01-14 20:00:00,purchase,24.2,groceries,Transaction 332
2024-01-14 21:00:00,withdrawal,231.13,transport,Transaction 333
2024-01-14 22:00:00,refund,67.27,entertainment,Transaction 334
2024-01-14 23:00:00,purchase,482.1,entertainment,Transaction 335
2024-01-15 00:00:00,refund,57.76,entertainment,Transaction 336
2024-01-15 01:00:00,purchase,37.06,healthcare,Transaction 337
2024-01-15 02:00:00,purchase,318.28,groceries,Transaction 338
2024-01-15 03:00:00,purchase,134.58,entertainment,Transaction 339
2024-01-15 04:00:00,withdrawal,92.96,groceries,Transaction 340
2024-01-15 05:00:00,refund,478.92,transport,Transaction 341
2024-01-15 06:00:00,refund,67.68,groceries,Transaction 342
2024-01-15 07:00:00,withdrawal,39.24,groceries,Transaction 343
2024-01-15 08:00:00,withdrawal,78.58,transport,Transaction 344
2024-01-15 09:00:00,refund,355.23,transport,Transaction 345
2024-01-15 10:00:00,purchase,193.6,groceries,Transaction 346
2024-01-15 11:00:00,refund,455.68,transport,Transaction 347
2024-01-15 12:00:00,withdrawal,73.41,groceries,Transaction 348
2024-01-15 13:00:00,refund,240.28,transport,Transaction 349
2024-01-15 14:00:00,withdrawal,162.38,healthcare,Transaction 350
2024-01-15 15:00:00,purchase,324.59,utilities,Transaction 351
2024-01-15 16:00:00,withdrawal,111.7,utilities,Transaction 352
2024-01-15 17:00:00,withdrawal,297.1,entertainment,Transaction 353
2024-01-15 18:00:00,purchase,421.91,healthcare,Transaction 354
2024-01-15 19:00:00,withdrawal,347.4,healthcare,Transaction 355
2024-01-15 20:00:00,refund,171.46,transport,Transaction 356
2024-01-15 21:00:00,withdrawal,8.46,healthcare,Transaction 357
2024-01-15 22:00:00,refund,283.59,healthcare,Transaction 358
2024-01-15 23:00:00,purchase,226.67,healthcare,Transaction 359
2024-01-16 00:00:00,refund,235.72,groceries,Transaction 360
2024-01-16 01:00:00,withdrawal,423.57,transport,Transaction 361
2024-01-16 02:00:00,withdrawal,482.32,entertainment,Transaction 362
2024-01-16 03:00:00,purchase,86.52,utilities,Transaction 363
2024-01-16 04:00:00,refund,319.19,utilities,Transaction 364
2024-01-16 05:00:00,withdrawal,290.11,groceries,Transaction 365
2024-01-16 06:00:00,refund,71.28,transport,Transaction 366
2024-01-16 07:00:00,withdrawal,7.87,transport,Transaction 367
2024-01-16 08:00:00,purchase,160.79,healthcare,Transaction 368
2024-01-16 09:00:00,withdrawal,74.52,healthcare,Transaction 369
2024-01-16 10:00:00,refund,398.47,entertainment,Transaction 370
2024-01-16 11:00:00,purchase,296.35,utilities,Transaction 371
2024-01-16 12:00:00,refund,31.53,entertainment,Transaction 372
2024-01-16 13:00:00,refund,64.8,entertainment,Transaction 373
2024-01-16 14:00:00,withdrawal,12.99,groceries,Transaction 374
2024-01-16 15:00:00,withdrawal,134.77,entertainment,Transaction 375
2024-01-16 16:00:00,purchase,84.56,healthcare,Transaction 376
2024-01-16 17:00:00,refund,357.6,transport,Transaction 377
2024-01-16 18:00:00,purchase,465.35,utilities,Transaction 378
2024-01-16 19:00:00,purchase,286.76,entertainment,Transaction 379
2024-01-16 20:00:00,withdrawal,131.54,transport,Transaction 380
2024-01-16 21:00:00,purchase,222.88,entertainment,Transaction 381
2024-01-16 22:00:00,purchase,228.89,groceries,Transaction 382
2024-01-16 23:00:00,refund,285.31,healthcare,Transaction 383
2024-01-17 00:00:00,refund,405.44,entertainment,Transaction 384
2024-01-17 01:00:00,purchase,152.72,entertainment,Transaction 385
2024-01-17 02:00:00,withdrawal,395.59,entertainment,Transaction 386
2024-01-17 03:00:00,purchase,349.89,groceries,Transaction 387
2024-01-17 04:00:00,purchase,304.41,utilities,Transaction 388
2024-01-17 05:00:00,withdrawal,47.87,transport,Transaction 389
2024-01-17 06:00:00,withdrawal,476.85,entertainment,Transaction 390
2024-01-17 07:00:00,withdrawal,79.68,transport,Transaction 391
2024-01-17 08:00:00,refund,461.92,transport,Transaction 392
2024-01-17 09:00:00,refund,469.94,utilities,Transaction 393
2024-01-17 10:00:00,purchase,257.52,utilities,Transaction 394
2024-01-17 11:00:00,purchase,236.46,transport,Transaction 395
2024-01-17 12:00:00,refund,411.82,healthcare,Transaction 396
2024-01-17 13:00:00,withdrawal,489.2,utilities,Transaction 397
2024-01-17 14:00:00,refund,232.42,transport,Transaction 398
2024-01-17 15:00:00,withdrawal,115.09,utilities,Transaction 399
2024-01-17 16:00:00,refund,35.56,groceries,Transaction 400
2024-01-17 17:00:00,withdrawal,311.49,healthcare,Transaction 401
2024-01-17 18:00:00,purchase,498.87,utilities,Transaction 402
2024-01-17 19:00:00,purchase,108.05,transport,Transaction 403
2024-01-17 20:00:00,refund,301.38,transport,Transaction 404
2024-01-17 21:00:00,withdrawal,442.16,groceries,Transaction 405
2024-01-17 22:00:00,purchase,175.17,transport,Transaction 406
2024-01-17 23:00:00,purchase,288.31,groceries,Transaction 407
2024-01-18 00:00:00,purchase,189.5,groceries,Transaction 408
2024-01-18 01:00:00,withdrawal,173.73,groceries,Transaction 409
2024-01-18 02:00:00,withdrawal,193.96,groceries,Transaction 410
2024-01-18 03:00:00,refund,253.49,entertainment,Transaction 411
2024-01-18 04:00:00,refund,85.54,groceries,Transaction 412
2024-01-18 05:00:00,refund,332.2,entertainment,Transaction 413
2024-01-18 06:00:00,refund,439.22,entertainment,Transaction 414
2024-01-18 07:00:00,withdrawal,135.77,utilities,Transaction 415
2024-01-18 08:00:00,withdrawal,413.1,utilities,Transaction 416
2024-01-18 09:00:00,withdrawal,49.49,healthcare,Transaction 417
2024-01-18 10:00:00,refund,31.54,utilities,Transaction 418
2024-01-18 11:00:00,purchase,357.76,groceries,Transaction 419
2024-01-18 12:00:00,withdrawal,432.67,groceries,Transaction 420
2024-01-18 13:00:00,purchase,306.66,utilities,Transaction 421
2024-01-18 14:00:00,purchase,196.5,entertainment,Transaction 422
2024-01-18 15:00:00,purchase,345.84,entertainment,Transaction 423
2024-01-18 16:00:00,withdrawal,382.37,healthcare,Transaction 424
2024-01-18 17:00:00,withdrawal,143.18,utilities,Transaction 425
2024-01-18 18:00:00,purchase,370.85,entertainment,Transaction 426
2024-01-18 19:00:00,purchase,465.2,transport,Transaction 427
2024-01-18 20:00:00,purchase,114.26,utilities,Transaction 428
